action_id,action_name,action_type,authority_involved,prerequisites,time_limit_days,cost_estimate_min,cost_estimate_max,online_possible,risk_level,procedure_steps,embedding_text
ACTION_011,File Maintenance Petition,Family,Family Court/Magistrate,Wife child or parent unable to maintain themselves,No specific limitation,5000,30000,Partial,Low,"[""Establish right to maintenance under CrPC 125 or personal laws"",""File petition before Family Court or Magistrate"",""Provide income details of respondent and needs of applicant"",""Submit marriage proof relationship proof income documents"",""Court determines maintenance amount"",""If not paid execution proceedings can be initiated""]",File maintenance petition alimony family court CrPC 125 spouse support
ACTION_012,File Cheque Bounce Case,Criminal,Magistrate Court,Cheque dishonored due to insufficient funds or signature mismatch; Legal notice sent,Within 1 month after cause of action (legal notice reply period),10000,50000,Partial,Medium,"[""Cheque bounced with bank memo"",""Send legal notice within 30 days of bouncing"",""Wait 15 days for response after notice delivery"",""If no payment file complaint under NI Act Section 138"",""File within 1 month after cause of action arises"",""Provide cheque original bank memo notice proof"",""Attend trial and prove debt and dishonor""]",File cheque bounce case NI Act Section 138 dishonored cheque insufficient funds
ACTION_013,Apply for Restraining Order/Injunction,Civil,Civil Court,Prima facie case; Balance of convenience; Irreparable injury likely,Before or with main suit filing,3000,50000,No,Medium,"[""File main suit along with injunction application"",""Show prima facie case and urgency"",""Demonstrate irreparable injury if injunction not granted"",""Court may grant temporary ex-parte injunction"",""Serve notice to defendant"",""Hearing for temporary injunction"",""Comply with conditions like furnishing undertaking or security""]",Apply restraining order injunction civil court temporary permanent relief
ACTION_014,File Writ Petition,Constitutional,High Court/Supreme Court,Fundamental rights violation; Administrative action challenge; No alternative remedy,Reasonable time; Doctrine of laches applies,25000,500000,Partial,High,"[""Engage constitutional lawyer"",""Draft writ petition (Mandamus Certiorari Prohibition Habeas Corpus)"",""File before High Court or Supreme Court"",""Show violation of fundamental rights or legal rights"",""Court may issue notice or rule nisi"",""Attend hearings and provide documents"",""Court may grant interim relief""]",File writ petition high court fundamental rights mandamus certiorari constitutional
ACTION_015,File Appeal,Civil/Criminal,Appellate Court,Adverse order or judgment from lower court; Appeal maintainable,30-90 days from order/judgment date,10000,200000,Partial,High,"[""Obtain certified copy of impugned order/judgment"",""Consult appellate lawyer"",""Draft appeal memorandum with grounds"",""File within limitation period before appropriate appellate court"",""Pay court fees and file documents"",""Appellate court may stay lower court order"",""Attend hearings and argue appeal""]",File appeal appellate court challenge judgment higher court review
ACTION_016,File Revision Petition,Civil/Criminal,High Court,Errors in lower court order; Limited grounds; Alternative to appeal,Usually 90 days from order,15000,150000,Partial,Medium,"[""Obtain certified copy of order"",""Draft revision petition highlighting jurisdictional errors"",""File before High Court"",""Show improper exercise of jurisdiction or material irregularity"",""Court examines record of lower court"",""May set aside modify or confirm order""]",File revision petition high court jurisdictional error review criminal civil
ACTION_017,File Review Petition,Civil/Criminal,Same Court,Error apparent on face of record; New evidence; Grounds under Order 47 CPC,30 days from order for Supreme Court; varies for others,20000,300000,Partial,High,"[""Limited grounds: mistake or error apparent on record"",""Discovery of new important evidence"",""File before same court that passed order"",""Draft review petition with specific grounds"",""Court has limited power to review own orders"",""Success rate is low""]",File review petition same court error apparent new evidence reconsideration
ACTION_018,File Suit for Specific Performance,Civil,Civil Court,Valid contract to sell property; Ready and willing to perform; Time is not essence,3 years from date fixed for performance or refusal,10000,100000,Partial,Medium,"[""Prove valid agreement to sell"",""Show readiness and willingness to perform contract"",""Demonstrate defendant refused to execute sale deed"",""File suit with court fees based on property value"",""Seek decree for specific performance"",""If successful court orders conveyance"",""If not executed court can appoint officer to execute deed""]",File specific performance suit property sale contract enforcement civil court
ACTION_019,File Suit for Declaration of Title,Civil,Civil Court,Title or property rights disputed; Adverse possession claimed,12 years from when right to sue accrues,8000,80000,Partial,Medium,"[""Draft plaint seeking declaration of ownership"",""Attach title documents sale deeds tax receipts"",""May also seek injunction or possession"",""Prove chain of title"",""Opponent may claim adverse possession or better title"",""Court examines revenue records and documents"",""Decree declaring title if successful""]",File declaration title suit property ownership civil court adverse possession
ACTION_020,File Partition Suit,Civil,Civil Court,Co-ownership exists; No amicable partition possible; Family property,12 years from when partition demanded,10000,150000,No,High,"[""List all co-owners and property details"",""Attempt family settlement first"",""File partition suit if settlement fails"",""Seek preliminary decree for partition"",""Court appoints commissioner to divide property"",""Final decree executed after division"",""Property divided as per shares""]",File partition suit family property division co-ownership civil court
ACTION_021,File Suit for Recovery of Money,Civil,Civil Court,Debt or loan exists; Acknowledged liability; Evidence of transaction,3 years from when debt becomes due,5000,75000,Partial,Low,"[""Prove debt exists through documents"",""Show demand was made and payment refused"",""File suit with court fee based on claim amount"",""Attach loan agreement promissory note or evidence"",""Trial and evidence presentation"",""If decreed obtain money decree"",""Execute decree through recovery proceedings""]",File recovery money suit debt collection loan repayment civil litigation
ACTION_022,File Execution Petition,Civil/Criminal,Same Court,Decree or order obtained; Decree not satisfied voluntarily,12 years from date of decree,2000,30000,Partial,Medium,"[""Obtain decree or order copy"",""File execution petition before decree-passing court"",""Identify assets of judgment debtor"",""Court may attach property garnish salary or arrest debtor"",""Sale of attached property through auction"",""Decree amount recovered and paid to decree holder""]",File execution petition decree enforcement judgment execution asset attachment
ACTION_023,File Insolvency Petition,Civil,NCLT/Court,Debt above threshold; Default in payment; No dispute,Based on debt default timeline,50000,500000,Partial,High,"[""Operational or financial creditor can initiate"",""File application before NCLT (National Company Law Tribunal)"",""Prove debt default above Rs 1 lakh threshold"",""Moratorium on debt recovery during insolvency"",""Insolvency resolution professional appointed"",""Resolution plan or liquidation""]",File insolvency petition NCLT bankruptcy debt default resolution liquidation
ACTION_024,File Arbitration Petition,Civil,Arbitral Tribunal,Arbitration agreement exists; Dispute covered by agreement,As per arbitration agreement,25000,300000,Partial,Medium,"[""Check if valid arbitration clause exists in contract"",""Send notice invoking arbitration"",""Mutually appoint arbitrator or apply to court"",""File statement of claim with documents"",""Arbitration proceedings (less formal than court)"",""Arbitrator passes arbitral award"",""Award enforceable like court decree""]",File arbitration petition alternative dispute resolution arbitrator arbitral award
ACTION_025,File Mediation Request,Civil,Court/Mediation Center,Parties willing to settle; Dispute amenable to mediation,Before or during litigation,3000,50000,Yes,Low,"[""Both parties agree to mediation"",""Court may refer matter to mediation center"",""Mediator facilitates discussion and settlement"",""Confidential process without admission of liability"",""If settlement reached mediation agreement signed"",""Agreement can be made a consent decree"",""If failed litigation continues""]",File mediation request alternative dispute resolution settlement negotiation mediator
ACTION_026,File Lok Adalat Application,Civil/Criminal,Lok Adalat,Compoundable offences; Civil disputes; Pending or pre-litigation,Can be at any stage,100,5000,Yes,Low,"[""Lok Adalat for amicable settlement"",""Both parties appear before Lok Adalat bench"",""Compromise and settlement encouraged"",""Award has status of civil court decree"",""No court fee on settlement"",""No appeal against Lok Adalat award"",""Quick and cost-effective resolution""]",File Lok Adalat application people's court settlement compoundable dispute ADR
ACTION_027,Apply for Police Protection,Criminal,Police/Magistrate,Threat to life or safety; Apprehension of harm,Immediate when threat exists,0,5000,Partial,Medium,"[""File written application to Police Commissioner or Magistrate"",""Describe nature of threat with details"",""Attach evidence of threat if available"",""Police provides protection as per threat assessment"",""May be asked to take precautions"",""Can seek court direction if police refuses""]",Apply police protection security threat safety apprehension harm
ACTION_028,File Quashing Petition,Criminal,High Court,FIR or proceedings abuse of process; No prima facie case; Settlement reached,As soon as possible after FIR/proceedings,30000,300000,Partial,High,"[""File under CrPC Section 482 before High Court"",""Show FIR is abuse of process or no offence made out"",""In compoundable matters show settlement reached"",""Court examines allegations and evidence"",""If satisfied may quash FIR or proceedings"",""Ends prosecution without trial""]",File quashing petition High Court CrPC 482 FIR quashing criminal proceedings
ACTION_029,File Discharge Application,Criminal,Trial Court,Insufficient evidence to frame charges; No prima facie case,After chargesheet filing during trial,10000,100000,No,Medium,"[""After chargesheet examine prosecution evidence"",""File discharge application under CrPC Section 227/239"",""Show no sufficient grounds to proceed with trial"",""Court examines documents and police report"",""If discharged no trial takes place"",""Prosecution may challenge discharge in High Court""]",File discharge application trial court insufficient evidence chargesheet criminal
ACTION_030,File Complaint with Cyber Crime Cell,Criminal,Cyber Crime Police,Online fraud hacking phishing identity theft occurred,Immediate reporting recommended,0,5000,Yes,Low,"[""Visit cybercrime.gov.in portal or nearest cyber cell"",""Register complaint online with transaction details"",""Provide screenshots emails chat logs"",""Include bank account details and transaction IDs"",""Police investigate and freeze accounts if possible"",""FIR may be registered for serious cybercrimes""]",File cyber crime complaint online fraud hacking phishing cyber cell portal
ACTION_031,File RTI Application,Administrative,Public Information Officer,Information from government department; Matter of public interest,No limitation but timely filing recommended,10,50,Yes,Low,"[""Draft RTI application under Right to Information Act"",""Identify appropriate public authority and PIO"",""Submit with prescribed fee (Rs 10 for central govt)"",""Information to be provided within 30 days"",""If rejected or delayed file first appeal"",""Second appeal to Central/State Information Commission""]",File RTI application right to information public authority transparency
ACTION_032,File Complaint with Human Rights Commission,Administrative,Human Rights Commission,Human rights violation by state or its instrumentalities,1 year from date of incident,0,10000,Yes,Low,"[""File complaint before NHRC or State HRC"",""Describe human rights violation in detail"",""Attach supporting documents and evidence"",""Commission investigates and calls for report"",""May recommend compensation or action"",""Recommendations not legally binding but persuasive""]",File human rights complaint NHRC SHRC violation state action
ACTION_033,File Complaint with Women's Commission,Administrative,Women's Commission,Women's rights violation; Gender discrimination; Harassment,Reasonable time after incident,0,5000,Yes,Low,"[""Approach National or State Women's Commission"",""File complaint describing discrimination or violation"",""Commission may call parties and mediate"",""Can recommend action to authorities"",""May provide legal aid or counseling"",""Expeditious redressal mechanism for women""]",File women's commission complaint gender discrimination harassment NCW
ACTION_034,File Labour Court Case,Employment,Labour Court,Industrial dispute; Illegal termination; Non-payment of wages,Usually 3 years from cause of action,5000,75000,Partial,Medium,"[""Approach Labour Commissioner first for conciliation"",""If conciliation fails file case before Labour Court"",""Draft statement of claim with employment details"",""Prove illegal termination or unfair labor practice"",""Attach appointment letter salary slips termination letter"",""Court may order reinstatement or compensation""]",File labour court case industrial dispute wrongful termination employment
ACTION_035,File Case in Debt Recovery Tribunal,Civil,DRT,Bank loan default above threshold; Secured or unsecured debt,3 years from date of default,15000,150000,Partial,Medium,"[""For recovery of debts above Rs 20 lakhs"",""Bank or financial institution files application"",""Submit loan documents and default evidence"",""DRT has expedited procedures"",""Debtor can file reply and defend"",""Recovery certificate issued if debt proved"",""Can appeal to DRAT""]",File DRT case debt recovery tribunal bank loan default financial institution
ACTION_036,File Case in National Green Tribunal,Environmental,NGT,Environmental damage; Violation of environmental laws,5 years from cause of action,10000,100000,Yes,Medium,"[""File application for environmental justice"",""Show violation of environmental laws or damage"",""NGT has jurisdiction over environmental matters"",""Faster disposal than regular courts"",""Can order compensation and restoration"",""Expert members along with judicial members""]",File NGT case green tribunal environmental violation pollution damage
ACTION_037,File Sexual Harassment Complaint (POSH),Employment,Internal Committee,Sexual harassment at workplace; POSH Act applicable,3 months from incident (extendable),0,25000,Partial,Medium,"[""File complaint with Internal Complaints Committee (ICC)"",""Women employee can complain about sexual harassment"",""ICC investigates within 90 days"",""Employer must provide safe workplace"",""ICC recommends action against harasser"",""Can file police complaint if criminal offence""]",File POSH complaint sexual harassment workplace ICC internal committee
ACTION_038,File Trademark Infringement Suit,Civil,Commercial Court,Registered trademark infringed; Unauthorized use,3 years from knowledge of infringement,50000,500000,Partial,High,"[""Prove registered trademark ownership"",""Show defendant using identical or deceptively similar mark"",""File civil suit for injunction and damages"",""May seek ex-parte injunction"",""Prove likelihood of confusion"",""Court may grant permanent injunction and compensation""]",File trademark infringement suit intellectual property commercial court brand
ACTION_039,File Copyright Infringement Case,Civil,Commercial Court,Original work copied without permission; Copyright violation,3 years from knowledge of infringement,40000,400000,Partial,High,"[""Prove copyright ownership in original work"",""Show unauthorized copying or reproduction"",""File civil suit for injunction damages and account of profits"",""May file criminal complaint under Copyright Act"",""Interim injunction to stop further infringement"",""Damages or account of profits as relief""]",File copyright infringement case intellectual property original work commercial court
ACTION_040,File Patent Infringement Suit,Civil,Commercial Court,Patented invention used without license; Patent rights violated,3 years from infringement,100000,1000000,Partial,High,"[""Prove patent grant and validity"",""Show defendant using patented invention without license"",""File before commercial court with patent jurisdiction"",""Technical expert evidence crucial"",""Seek injunction damages and delivery up"",""Defendant may challenge patent validity""]",File patent infringement suit intellectual property invention commercial court
ACTION_041,Apply for Succession Certificate,Civil,Civil Court,Deceased left movable property; No will exists; Legal heir needs certificate,No limitation,10000,75000,No,Medium,"[""File petition before District Judge"",""List all legal heirs and assets"",""Attach death certificate and relationship proof"",""Court issues public notice for objections"",""If no objections certificate granted"",""Enables legal heir to collect debts and securities""]",Apply succession certificate legal heir movable property no will
ACTION_042,File Probate Petition,Civil,Civil Court,Will exists; Executor needs legal authority; Immovable property involved,No limitation but should file reasonably,15000,150000,Partial,Medium,"[""File before District Judge or High Court"",""Submit original will and death certificate"",""Prove testamentary capacity of testator"",""Court verifies will authenticity"",""Public notice for objections"",""Grant of probate if no objections"",""Executor can administer estate""]",File probate petition will executor testator estate administration
ACTION_043,File Restitution Application,Civil,Same Court,Decree or order reversed on appeal; Restitution of benefits needed,File after appellate order,3000,40000,No,Low,"[""When decree is reversed or modified on appeal"",""File application for restitution"",""Court orders return of benefits obtained under original decree"",""Parties restored to original position"",""May include interest and costs""]",File restitution application decree reversed benefits return appellate
ACTION_044,File Caveat,Civil/Criminal,Court,Anticipate ex-parte order against you; Want notice before any order,Before anticipated application filing,2000,15000,Yes,Low,"[""File caveat under CPC Section 148A or CrPC Section 148A"",""Submit in court where application may be filed"",""Court must give notice to caveator before passing order"",""Valid for 90 days"",""Prevents surprise ex-parte orders"",""Can be renewed after expiry""]",File caveat notice ex-parte order protection prior information
ACTION_045,File Intervention Application,Civil,Ongoing Case Court,Interested in pending case outcome; Legal interest in subject matter,During pendency of case,5000,50000,No,Medium,"[""File application to intervene in pending suit"",""Show legal interest in subject matter"",""Court permits intervention if interest established"",""Can present arguments and evidence"",""Useful in public interest or property disputes""]",File intervention application impleadment party pending suit legal interest
ACTION_046,File Rectification Suit,Civil,Civil Court,Mistake in document deed or contract; Mutual mistake or fraud,3 years from knowledge of mistake,8000,60000,Partial,Medium,"[""Show mistake or fraud in document"",""File suit to rectify document"",""Prove what true agreement or intention was"",""Court can order rectification of document"",""Particularly used for property documents""]",File rectification suit mistake document deed correction fraud
ACTION_047,Apply for Court Marriage Registration,Administrative,Marriage Registrar,Couple wants legal marriage; Age and eligibility criteria met,30 days notice period before marriage,500,5000,Yes,Low,"[""Give 30 days advance notice to Marriage Registrar"",""Both parties sign notice in person"",""Notice displayed at registrar office"",""If no objection marriage solemnized after 30 days"",""Three witnesses required"",""Marriage certificate issued""]",Apply court marriage registration special marriage act registrar
ACTION_048,File Nomination of Legal Heir,Administrative,Bank/Company,Account holder wants to nominate beneficiary,Anytime during lifetime,0,1000,Yes,Low,"[""Fill nomination form from bank insurance or company"",""Nominate one or more persons as beneficiaries"",""Provide nominee details and relationship"",""Can be changed anytime during lifetime"",""Simplifies asset transfer after death"",""Not same as will but facilitates claim settlement""]",File nomination legal heir beneficiary bank insurance asset transfer
ACTION_049,Apply for Legal Aid,Administrative,Legal Services Authority,Indigent person needs legal representation; Income below threshold,When legal proceedings are needed,0,0,Yes,Low,"[""Approach District or State Legal Services Authority"",""Submit application with income certificate"",""Show inability to afford lawyer"",""Free legal services provided to eligible persons"",""Includes SC/ST women children disabled"",""Lawyer assigned for case representation""]",Apply legal aid free legal services poor indigent DLSA SLSA
ACTION_050,File Complaint with Ombudsman,Administrative,Banking/Insurance/Electricity Ombudsman,Complaint against service provider not resolved; Within jurisdiction,1 year from service provider's reply,0,500,Yes,Low,"[""First complain to service provider and wait 30 days"",""If not resolved file complaint with ombudsman"",""Banking Insurance Electricity etc have separate ombudsmen"",""Submit complaint with documents and correspondence"",""Ombudsman decides within 30 days"",""Award binding on service provider"",""Alternative to court litigation""]",File ombudsman complaint banking insurance service deficiency redressal
ACTION_051,Register Private Treaty,Civil,Sub-Registrar,Parties want to record agreement; Legal document recording,As per agreement terms,500,10000,No,Low,"[""Draft agreement or treaty between parties"",""Both parties appear before Sub-Registrar"",""Pay stamp duty and registration fees"",""Register the document"",""Registered document has evidentiary value"",""Creates legal rights and obligations""]",Register private treaty agreement sub-registrar stamp duty registration
ACTION_052,File Contempt of Court Petition,Criminal,High Court/Supreme Court,Willful disobedience of court order; Scandalizing the court,Reasonable time after contempt,15000,200000,Partial,High,"[""Show willful disobedience or disregard of court order"",""File before High Court or Supreme Court"",""Can be civil contempt or criminal contempt"",""Court examines whether contempt made out"",""Punishment can include fine or imprisonment"",""Apologizing may purge contempt""]",File contempt court petition disobedience court order scandalizing judiciary
ACTION_053,File Habeas Corpus Petition,Constitutional,High Court/Supreme Court,Person illegally detained; Unlawful confinement; Custody challenge,Immediate when detention occurs,10000,150000,Partial,High,"[""File writ of habeas corpus"",""Show person detained illegally or without authority"",""Court issues notice to detaining authority"",""Authority must produce detained person before court"",""Court examines legality of detention"",""Person released if detention illegal""]",File habeas corpus writ petition illegal detention custody unlawful confinement
ACTION_054,File Mandamus Petition,Constitutional,High Court/Supreme Court,Government or authority failed to perform statutory duty,Reasonable time; Laches may apply,20000,250000,Partial,High,"[""Show statutory or legal duty exists"",""Prove authority failed to perform duty"",""No alternative remedy available"",""File writ of mandamus before High Court"",""Court issues rule nisi"",""If satisfied court directs performance of duty""]",File mandamus writ petition government duty performance statutory obligation
ACTION_055,File Certiorari Petition,Constitutional,High Court/Supreme Court,Quasi-judicial or administrative order challenged; Error of jurisdiction,Usually within reasonable time,25000,300000,Partial,High,"[""Challenge order of tribunal or quasi-judicial authority"",""Show error apparent on face of record or jurisdictional error"",""File writ of certiorari"",""Court examines record of lower authority"",""May quash the order if illegal"",""Matter may be remanded for fresh decision""]",File certiorari writ petition quash order tribunal jurisdictional error
ACTION_056,File Prohibition Petition,Constitutional,High Court/Supreme Court,Authority acting beyond jurisdiction; Prevent excess of jurisdiction,Before authority passes final order,20000,200000,Partial,High,"[""Show authority proceeding without jurisdiction"",""File writ of prohibition"",""Preventive remedy to stop proceedings"",""Court examines jurisdictional question"",""If satisfied issues prohibition"",""Authority prohibited from proceeding further""]",File prohibition writ petition excess jurisdiction prevent illegal proceedings
ACTION_057,Apply for Passport,Administrative,Passport Office,Valid identity and address proof; Police verification,No limitation,1500,10000,Yes,Low,"[""Fill online application on passport portal"",""Upload documents and pay fees"",""Book appointment for document verification"",""Attend passport office with original documents"",""Police verification conducted"",""Passport issued within 30 days if all clear""]",Apply passport international travel identity document passport office
ACTION_058,File Motor Accident Claim,Civil,Motor Accidents Claims Tribunal,Road accident causing injury or death; Vehicle involved identified,2 years from accident date,5000,50000,Partial,Medium,"[""File claim before MACT within 2 years"",""Attach FIR medical reports and treatment bills"",""Prove negligence of driver"",""Include vehicle registration and insurance details"",""Claim compensation for injury death or property damage"",""Tribunal determines liability and compensation""]",File motor accident claim MACT vehicle accident injury compensation negligence
ACTION_059,File Defamation Suit,Civil,Civil Court,False statement harmed reputation; Publication to third party,1 year from publication under criminal law; 3 years civil,10000,200000,Partial,Medium,"[""Prove defamatory statement made"",""Show statement referred to plaintiff"",""Statement published to third party"",""Send legal notice before filing suit"",""File civil suit for damages"",""Can also file criminal complaint under IPC 499/500"",""Prove actual damage to reputation""]",File defamation suit reputation damage false statement libel slander
ACTION_060,File Suit for Injunction,Civil,Civil Court,Threatened violation of legal right; Prevent irreparable injury,Before violation or immediately after,5000,75000,Partial,Medium,"[""Show plaintiff has legal right"",""Prove defendant threatens to violate right"",""Irreparable injury will result"",""Balance of convenience favors plaintiff"",""File suit with injunction application"",""Court may grant temporary injunction"",""Permanent injunction after trial""]",File injunction suit prevent violation legal right irreparable injury
ACTION_061,File Settlement Deed,Civil,Sub-Registrar/Court,Parties reach amicable settlement; Dispute resolution,During or before litigation,1000,20000,No,Low,"[""Draft settlement or compromise deed"",""Include terms agreed by all parties"",""Register before Sub-Registrar if involves property"",""If during litigation file before court"",""Court may pass consent decree"",""Settlement binding on parties"",""Ends litigation""]",File settlement deed compromise agreement amicable resolution consent decree
ACTION_062,File Caste Certificate Application,Administrative,Revenue Office,Belongs to SC/ST/OBC; Need certificate for benefits,Anytime when needed,0,2000,Yes,Low,"[""Apply to Tahsildar or Revenue Officer"",""Submit caste declaration and family details"",""Provide parents' caste certificates if available"",""Revenue officer verifies records"",""Certificate issued if eligible"",""Valid for claiming reservations and benefits""]",File caste certificate application SC ST OBC reservation revenue office
ACTION_063,File Income Certificate Application,Administrative,Revenue Office,Need to prove income for legal or benefit purposes,Anytime when needed,0,1000,Yes,Low,"[""Apply to Tahsildar or Revenue Officer"",""Provide salary slips or business income details"",""Self-declaration of annual income"",""Certificate issued after verification"",""Valid for specified period usually 6 months to 1 year"",""Used for loans scholarships legal aid""]",File income certificate application revenue office salary proof
ACTION_064,File Mutation Application,Administrative,Revenue Office,Property ownership changed; Update land records,After sale or inheritance,500,5000,Partial,Low,"[""Apply to Revenue Inspector or Tahsildar"",""Submit sale deed or succession documents"",""Pay required fees"",""Revenue officer updates ownership in records"",""Mutation entry made in 7/12 or RoR"",""Does not confer title but updates records""]",File mutation application land records property ownership revenue office 7/12
ACTION_065,Apply for Aadhaar Correction,Administrative,Aadhaar Center,Wrong details in Aadhaar; Need to update information,Anytime when error discovered,0,100,Yes,Low,"[""Visit Aadhaar Enrollment Center"",""Fill correction form"",""Submit proof for correction"",""Biometric verification"",""Updated Aadhaar delivered within 90 days"",""Can update name DOB gender address mobile""]",Apply Aadhaar correction update UIDAI enrollment center biometric
ACTION_066,File PAN Card Application,Administrative,Income Tax/NSDL,Need PAN for financial transactions; Tax identification,Anytime but required before filing ITR,100,200,Yes,Low,"[""Apply online through NSDL or UTIITSL"",""Fill Form 49A or online form"",""Upload identity and address proof"",""Pay processing fee"",""PAN card dispatched within 15 days"",""Mandatory for income tax and financial transactions""]",File PAN card application permanent account number income tax NSDL
ACTION_067,File Goods and Services Tax Return,Administrative,GST Department,GST registered business; Monthly/quarterly filing,Monthly or quarterly as applicable,0,10000,Yes,Medium,"[""File GSTR-1 for outward supplies"",""File GSTR-3B for summary return with tax payment"",""Upload invoices and reconcile"",""Pay tax liability through portal"",""File before due date to avoid penalty"",""Annual return GSTR-9 also required""]",File GST return tax compliance GSTR monthly quarterly business
ACTION_068,File Income Tax Return,Administrative,Income Tax Department,Annual income above threshold; Tax compliance,July 31 for individuals; Sept 30 for audit cases,0,5000,Yes,Low,"[""Gather Form 16 salary slips investment proofs"",""Calculate taxable income and tax liability"",""File ITR online on income tax portal"",""Choose appropriate ITR form (ITR-1 to ITR-7)"",""E-verify using Aadhaar OTP or net banking"",""Refund processed if tax overpaid""]",File income tax return ITR annual filing tax compliance refund
ACTION_069,File Company Incorporation,Administrative,Registrar of Companies,Start private limited or public company; Business entity,Before starting business operations,10000,50000,Yes,Medium,"[""Reserve company name with MCA"",""Draft Memorandum and Articles of Association"",""File incorporation form SPICe+ with documents"",""Obtain Director Identification Number (DIN)"",""Digital signature certificate required"",""Certificate of Incorporation issued"",""PAN TAN and GST registration simultaneously""]",File company incorporation ROC private limited MCA business registration
ACTION_070,File Partnership Firm Registration,Administrative,Registrar of Firms,Register partnership firm; Business collaboration,Before or after partnership deed,2000,15000,Partial,Low,"[""Draft partnership deed with terms"",""File Form 1 with Registrar of Firms"",""Submit partnership deed and partner details"",""Pay registration fees"",""Certificate of registration issued"",""Registered partnership has legal standing to sue""]",File partnership registration registrar firms business partnership deed
