section_id,section_number,act_name,chapter_name,section_title,full_text,layman_explanation,category,severity_level,punishment_summary,max_punishment_years,cognizable,bailable,applicable_states,is_compoundable,embedding_text
IPC_275,Section 275,Indian Penal Code 1860,Public Health Safety Decency and Morals,Sale of adulterated drugs,Whoever knowingly sells or distributes adulterated drugs or medical preparations as genuine shall be punished with imprisonment up to six months or fine or both.,"This section punishes selling or supplying medicines that are known to be adulterated, risking public health.",Criminal,Moderate,Imprisonment or Fine,0.5,Yes,Yes,All India,Yes,IPC 275 sale of adulterated drugs explanation
IPC_279,Section 279,Indian Penal Code 1860,Public Health Safety Decency and Morals,Rash driving or riding on a public way,Whoever drives any vehicle in a rash or negligent manner on a public way so as to endanger human life shall be punished with imprisonment up to six months or fine or both.,This section applies to rash or negligent driving on public roads that endangers human life or safety.,Criminal,Moderate,Imprisonment or Fine,0.5,Yes,Yes,All India,Yes,IPC 279 rash driving explanation
IPC_289,Section 289,Indian Penal Code 1860,Public Health Safety Decency and Morals,Negligent conduct with respect to animal,Whoever knowingly or negligently fails to control any animal in his possession so as to prevent danger to human life shall be punished with imprisonment up to six months or fine or both.,"This section applies when a person fails to control an animal properly, leading to danger or injury to others.",Criminal,Minor,Imprisonment or Fine,0.5,Yes,Yes,All India,Yes,IPC 289 negligent conduct with animal explanation
IPC_290,Section 290,Indian Penal Code 1860,Public Health Safety Decency and Morals,Punishment for public nuisance,Whoever commits a public nuisance in cases not otherwise punishable shall be punished with fine which may extend to two hundred rupees.,This section provides punishment for public nuisance where no specific punishment is mentioned elsewhere in the IPC.,Criminal,Minor,Fine Only,0,Yes,Yes,All India,Yes,IPC 290 punishment for public nuisance explanation
IPC_292,Section 292,Indian Penal Code 1860,Public Health Safety Decency and Morals,Sale of obscene books and objects,"Whoever sells, distributes, exhibits, imports or circulates obscene books, drawings or objects shall be punished on first conviction with imprisonment up to two years and fine, and on subsequent conviction up to five years and fine.","This section criminalizes the sale, distribution or circulation of obscene materials that may corrupt public morals, with exceptions for art, religion and education.",Criminal,Severe,Imprisonment and Fine,5,Yes,No,All India,No,IPC 292 obscene publications explanation
IPC_294,Section 294,Indian Penal Code 1860,Public Health Safety Decency and Morals,Obscene acts and songs,Whoever does any obscene act or sings obscene songs in or near a public place causing annoyance shall be punished with imprisonment up to three months or fine or both.,This section applies to obscene behavior or language in public places that causes annoyance to others.,Criminal,Minor,Imprisonment or Fine,0.25,Yes,Yes,All India,Yes,IPC 294 obscene acts in public explanation
IPC_295,Section 295,Indian Penal Code 1860,Offences Relating to Religion,Injuring or defiling place of worship,"Whoever destroys, damages or defiles any place of worship or any object held sacred with the intention of insulting the religion of any class shall be punished with imprisonment up to two years or fine or both.",This section applies when someone intentionally damages or defiles a place of worship or sacred object to insult the religion of a particular community.,Criminal,Moderate,Imprisonment or Fine,2,Yes,Yes,All India,Yes,IPC 295 defiling place of worship explanation
IPC_295A,Section 295A,Indian Penal Code 1860,Offences Relating to Religion,Deliberate and malicious acts intended to outrage religious feelings,"Whoever deliberately and maliciously insults the religion or religious beliefs of any class by words, signs or representations shall be punished with imprisonment up to three years or fine or both.","This section deals with intentional and malicious acts such as speech, writing or representations meant to outrage the religious feelings of a community.",Criminal,Severe,Imprisonment or Fine,3,Yes,No,All India,No,IPC 295A outrage religious feelings explanation
IPC_296,Section 296,Indian Penal Code 1860,Offences Relating to Religion,Disturbing religious assembly,Whoever voluntarily causes disturbance to any religious assembly lawfully engaged in worship or ceremonies shall be punished with imprisonment up to one year or fine or both.,This section applies when a person intentionally disturbs a religious gathering or ceremony that is being lawfully conducted.,Criminal,Minor,Imprisonment or Fine,1,Yes,Yes,All India,Yes,IPC 296 disturbing religious assembly explanation
IPC_297,Section 297,Indian Penal Code 1860,Offences Relating to Religion,Trespassing on burial places or places of worship,Whoever trespasses on burial places or places of worship or offers indignity to a human corpse with intent to insult religion or wound feelings shall be punished with imprisonment up to one year or fine or both.,"This section applies when someone trespasses on burial grounds or funeral places, or disrespects a corpse, with intent to insult religion or hurt sentiments.",Criminal,Minor,Imprisonment or Fine,1,Yes,Yes,All India,Yes,IPC 297 trespass burial place explanation
IPC_298,Section 298,Indian Penal Code 1860,Offences Relating to Religion,Uttering words with deliberate intent to wound religious feelings,"Whoever deliberately utters words, makes sounds, gestures or places objects with intent to wound the religious feelings of any person shall be punished with imprisonment up to one year or fine or both.","This section applies when a person intentionally uses words, gestures or actions to hurt the religious feelings of another individual.",Criminal,Minor,Imprisonment or Fine,1,Yes,Yes,All India,Yes,IPC 298 deliberate religious insult explanation
IPC_300,Section 300,Indian Penal Code 1860,Offences Affecting Life,Murder,"Culpable homicide is murder when death is caused with intention or knowledge that the act is likely to cause death, subject to specific exceptions.","This section defines murder. It applies when a person intentionally causes death or commits an act knowing it will almost certainly cause death, except in legally defined exceptional circumstances.",Criminal,Severe,Death or Life Imprisonment,Life,Yes,No,All India,No,IPC 300 murder definition exceptions explanation
IPC_302,Section 302,Indian Penal Code 1860,Offences Affecting Life,Punishment for murder,Whoever commits murder shall be punished with death or imprisonment for life and fine.,"This section prescribes punishment for murder, including death penalty or life imprisonment.",Criminal,Severe,Death or Life Imprisonment,Life,Yes,No,All India,No,IPC 302 punishment for murder explanation
IPC_304A,Section 304A,Indian Penal Code 1860,Offences Affecting Life,Causing death by negligence,Whoever causes death by rash or negligent act not amounting to culpable homicide shall be punished with imprisonment up to two years or fine or both.,"This section applies when death occurs due to negligence, such as reckless driving, without intention to kill.",Criminal,Moderate,Imprisonment or Fine,2,Yes,Yes,All India,Yes,IPC 304A death by negligence explanation
IPC_304B,Section 304B,Indian Penal Code 1860,Offences Affecting Life,Dowry death,Death of a woman within seven years of marriage due to cruelty or harassment for dowry is deemed dowry death.,This section deals with dowry-related deaths and presumes the husband or relatives responsible.,Criminal,Severe,Imprisonment 7 Years to Life,Life,Yes,No,All India,No,IPC 304B dowry death explanation
IPC_305,Section 305,Indian Penal Code 1860,Offences Affecting Life,Abetment of suicide of child or insane person,"Abetting suicide of a minor, insane or intoxicated person is punishable with death, life imprisonment or imprisonment up to ten years.",This section applies when vulnerable persons are driven to suicide by another person.,Criminal,Severe,Death or Life Imprisonment,Life,Yes,No,All India,No,IPC 305 abetment of suicide explanation
IPC_307,Section 307,Indian Penal Code 1860,Offences Affecting Life,Attempt to murder,Whoever does any act with intention or knowledge to cause death shall be punished with imprisonment up to ten years or life imprisonment if hurt is caused.,"This section applies when an attempt is made to kill, even if death does not occur.",Criminal,Severe,Imprisonment or Life,Life,Yes,No,All India,No,IPC 307 attempt to murder explanation
IPC_310,Section 310,Indian Penal Code 1860,Offences Affecting Life,Thug,A person habitually associated for committing robbery or murder is a thug.,This section defines the offence of being part of a criminal gang involved in murder or robbery.,Criminal,Severe,Life Imprisonment,Life,Yes,No,All India,No,IPC 310 thug definition explanation
IPC_311,Section 311,Indian Penal Code 1860,Offences Affecting Life,Punishment for thug,Whoever is a thug shall be punished with imprisonment for life and fine.,This section prescribes punishment for the offence of thug.,Criminal,Severe,Life Imprisonment,Life,Yes,No,All India,No,IPC 311 punishment for thug explanation
IPC_312,Section 312,Indian Penal Code 1860,Offences Affecting Life,Causing miscarriage,Causing miscarriage without good faith to save woman’s life is punishable.,This section criminalizes unlawful abortion.,Criminal,Moderate,Imprisonment or Fine,7,Yes,Yes,All India,Yes,IPC 312 causing miscarriage explanation
IPC_313,Section 313,Indian Penal Code 1860,Offences Affecting Life,Causing miscarriage without woman’s consent,Causing miscarriage without consent is punishable with life imprisonment or imprisonment up to ten years.,This section deals with forced abortion.,Criminal,Severe,Life Imprisonment,Life,Yes,No,All India,No,IPC 313 forced miscarriage explanation
IPC_326A,Section 326A,Indian Penal Code 1860,Offences Affecting Life,Acid attack causing grievous hurt,Causing permanent or partial damage by acid attack is punishable with minimum ten years imprisonment or life.,This section deals with acid attacks causing severe bodily harm.,Criminal,Severe,Minimum 10 Years to Life,Life,Yes,No,All India,No,IPC 326A acid attack explanation
IPC_326B,Section 326B,Indian Penal Code 1860,Offences Affecting Life,Attempted acid attack,Attempt to throw acid with intent to cause harm is punishable.,This section applies even when acid attack is attempted but harm is not fully caused.,Criminal,Severe,5 to 7 Years Imprisonment,7,Yes,No,All India,No,IPC 326B attempted acid attack explanation
IPC_333,Section 333,Indian Penal Code 1860,Offences Affecting Life,Grievous hurt to deter public servant,Voluntarily causing grievous hurt to deter a public servant is punishable with imprisonment up to ten years.,This section protects public servants performing official duties.,Criminal,Severe,Imprisonment and Fine,10,Yes,No,All India,No,IPC 333 grievous hurt to public servant explanation
IPC_341,Section 341,Indian Penal Code 1860,Offences Affecting Life,Wrongful restraint,Wrongfully restraining a person is punishable with simple imprisonment or fine.,This section applies when a person is unlawfully prevented from moving freely.,Criminal,Minor,Simple Imprisonment or Fine,0.1,Yes,Yes,All India,Yes,IPC 341 wrongful restraint explanation
IPC_342,Section 342,Indian Penal Code 1860,Offences Affecting Life,Wrongful confinement,Wrongfully confining a person is punishable with imprisonment up to one year.,This section applies when a person is unlawfully confined.,Criminal,Minor,Imprisonment or Fine,1,Yes,Yes,All India,Yes,IPC 342 wrongful confinement explanation
IPC_354,Section 354,Indian Penal Code 1860,Offences Affecting Life,Outraging modesty of woman,Assault or criminal force with intent to outrage modesty is punishable.,This section protects women from sexual assault and inappropriate physical force.,Criminal,Severe,1 to 5 Years Imprisonment,5,Yes,No,All India,No,IPC 354 outraging modesty explanation
IPC_354A,Section 354A,Indian Penal Code 1860,Offences Affecting Life,Sexual harassment,"Sexual harassment includes unwelcome physical contact, sexual remarks or demands.",This section criminalizes sexual harassment of women.,Criminal,Severe,Imprisonment or Fine,3,Yes,No,All India,No,IPC 354A sexual harassment explanation
IPC_354D,Section 354D,Indian Penal Code 1860,Offences Affecting Life,Stalking,Repeatedly following or contacting a woman against her will is stalking.,This section addresses physical and online stalking.,Criminal,Severe,Imprisonment and Fine,5,Yes,No,All India,No,IPC 354D stalking explanation
IPC_363,Section 363,Indian Penal Code 1860,Offences Affecting Life,Kidnapping,Kidnapping from India or lawful guardianship is punishable.,This section criminalizes kidnapping.,Criminal,Severe,Imprisonment and Fine,7,Yes,No,All India,No,IPC 363 kidnapping explanation
IPC_364A,Section 364A,Indian Penal Code 1860,Offences Affecting Life,Kidnapping for ransom,Kidnapping for ransom is punishable with death or life imprisonment.,This section deals with kidnapping involving ransom demands.,Criminal,Severe,Death or Life Imprisonment,Life,Yes,No,All India,No,IPC 364A kidnapping for ransom explanation
IPC_376,Section 376,Indian Penal Code 1860,Offences Affecting Life,Punishment for rape,Rape is punishable with rigorous imprisonment not less than ten years and may extend to life or death in aggravated cases.,This section prescribes punishment for rape and its aggravated forms.,Criminal,Severe,10 Years to Life / Death,Life,Yes,No,All India,No,IPC 376 rape punishment explanation
IPC_377,Section 377,Indian Penal Code 1860,Offences Affecting Life,Unnatural offences,Carnal intercourse against the order of nature is punishable.,This section is partly decriminalized; consensual acts between adults are no longer offences.,Criminal,Moderate,Imprisonment,Life,NA,NA,All India,NA,IPC 377 unnatural offence decriminalized explanation
IPC_503,Section 503,Indian Penal Code 1860,Criminal Intimidation Insult and Annoyance,Criminal intimidation,"Whoever threatens another with injury to person, reputation or property with intent to cause alarm or compel action commits criminal intimidation.",This section defines criminal intimidation. It applies when someone threatens another person to create fear or force them to act against their legal rights.,Criminal,Moderate,Imprisonment or Fine,2,Yes,Yes,All India,Yes,IPC 503 criminal intimidation definition explanation
IPC_504,Section 504,Indian Penal Code 1860,Criminal Intimidation Insult and Annoyance,Intentional insult with intent to provoke breach of peace,Whoever intentionally insults another knowing it is likely to provoke breach of peace shall be punished.,This section applies when abusive or insulting words are used deliberately to provoke violence or disturb public peace.,Criminal,Minor,Imprisonment or Fine,2,Yes,Yes,All India,Yes,IPC 504 intentional insult breach of peace explanation
IPC_505,Section 505,Indian Penal Code 1860,Criminal Intimidation Insult and Annoyance,Statements conducing to public mischief,"Whoever makes or circulates statements or rumours causing public fear, enmity or incitement to offences shall be punished.","This section applies to spreading rumours or statements that cause public panic, communal hatred or encourage offences against the State or public order.",Criminal,Severe,Imprisonment or Fine,5,Yes,No,All India,No,IPC 505 statements causing public mischief explanation
IPC_506,Section 506,Indian Penal Code 1860,Criminal Intimidation Insult and Annoyance,Punishment for criminal intimidation,"Whoever commits criminal intimidation shall be punished, and if threat involves death, grievous hurt or serious offence, punishment is enhanced.","This section provides punishment for criminal intimidation, with harsher punishment for serious threats.",Criminal,Moderate,Imprisonment or Fine,7,Yes,Yes,All India,Yes,IPC 506 punishment for criminal intimidation explanation
IPC_507,Section 507,Indian Penal Code 1860,Criminal Intimidation Insult and Annoyance,Criminal intimidation by anonymous communication,Criminal intimidation committed anonymously or by concealing identity is punishable in addition to Section 506.,This section applies when threats are made anonymously or while hiding the offender’s identity.,Criminal,Moderate,Additional Imprisonment,2,Yes,Yes,All India,Yes,IPC 507 anonymous criminal intimidation explanation
IPC_508,Section 508,Indian Penal Code 1860,Criminal Intimidation Insult and Annoyance,Act caused by inducing belief of divine displeasure,Whoever induces a person to act or omit action by threatening divine displeasure shall be punished.,This section applies when religious fear or superstition is used to force someone to act against their legal rights.,Criminal,Minor,Imprisonment or Fine,1,Yes,Yes,All India,Yes,IPC 508 inducing divine displeasure explanation
IPC_509,Section 509,Indian Penal Code 1860,Criminal Intimidation Insult and Annoyance,Insulting modesty of a woman,"Whoever utters words, gestures or intrudes upon privacy with intent to insult a woman’s modesty shall be punished.","This section protects women from verbal, gestural or privacy-invading harassment.",Criminal,Severe,Imprisonment and Fine,3,Yes,No,All India,No,IPC 509 insulting modesty of woman explanation
IPC_510,Section 510,Indian Penal Code 1860,Criminal Intimidation Insult and Annoyance,Misconduct in public by a drunken person,Whoever appears intoxicated in public and causes annoyance shall be punished.,This section applies when a drunk person behaves in a disorderly or annoying manner in public.,Criminal,Minor,Simple Imprisonment or Fine,0.07,Yes,Yes,All India,Yes,IPC 510 drunken misconduct in public explanation
IPC_499,Section 499,Indian Penal Code 1860,Defamation,Defamation,"Whoever makes or publishes any imputation concerning any person intending to harm, or knowing it will harm, that person’s reputation commits defamation, subject to statutory exceptions.","This section defines defamation. It applies when false statements, words, signs or representations harm a person’s reputation, except in legally protected situations like truth for public good or good-faith opinions.",Criminal,Moderate,Imprisonment or Fine,2,No,Yes,All India,Yes,IPC 499 defamation definition exceptions explanation
IPC_500,Section 500,Indian Penal Code 1860,Defamation,Punishment for defamation,Whoever defames another shall be punished with simple imprisonment up to two years or with fine or with both.,This section prescribes punishment for committing defamation under Section 499.,Criminal,Moderate,Imprisonment or Fine,2,No,Yes,All India,Yes,IPC 500 punishment for defamation explanation
IPC_501,Section 501,Indian Penal Code 1860,Defamation,Printing or engraving defamatory matter,Whoever prints or engraves any matter knowing it to be defamatory shall be punished with simple imprisonment up to two years or fine or both.,"This section applies when defamatory content is printed or engraved knowingly, such as newspapers or posters.",Criminal,Moderate,Imprisonment or Fine,2,No,Yes,All India,Yes,IPC 501 printing defamatory content explanation
IPC_502,Section 502,Indian Penal Code 1860,Defamation,Sale of printed defamatory matter,Whoever sells or offers for sale any printed or engraved substance knowing it contains defamatory matter shall be punished with simple imprisonment up to two years or fine or both.,This section applies to selling or distributing defamatory material with knowledge of its nature.,Criminal,Moderate,Imprisonment or Fine,2,No,Yes,All India,Yes,IPC 502 sale of defamatory material explanation
IPC_498A,Section 498A,Indian Penal Code 1860,Cruelty by Husband or Relatives of Husband,Husband or relative of husband subjecting woman to cruelty,"Whoever, being the husband or relative of the husband of a woman, subjects such woman to cruelty shall be punished with imprisonment up to three years and fine.","This section applies when a husband or his relatives subject a married woman to physical or mental cruelty, including harassment for dowry or conduct that may drive her to suicide or cause serious harm.",Criminal,Severe,Imprisonment and Fine,3,Yes,No,All India,No,IPC 498A cruelty by husband or relatives explanation
IPC_511,Section 511,Indian Penal Code 1860,Attempts to Commit Offences,Punishment for attempting to commit offences,"Whoever attempts to commit an offence punishable with imprisonment for life or other imprisonment, and does any act towards its commission, shall be punished where no specific punishment is provided.","This section applies when a person makes an attempt to commit a crime but fails to complete it. Even if the offence is not completed, doing an act towards committing it is punishable.",Criminal,Moderate,Up to Half of Original Punishment,0.5,Yes,Yes,All India,Yes,IPC 511 attempt to commit offence explanation
IPC_463,Section 463,Indian Penal Code 1860,Documents and Property Marks,Forgery,"Whoever makes a false document or electronic record with intent to cause damage, injury or fraud commits forgery.",This section defines forgery. It applies when someone creates a fake document or electronic record to deceive or cause harm.,Criminal,Moderate,As per related sections,0,Yes,Yes,All India,Yes,IPC 463 forgery definition explanation
IPC_464,Section 464,Indian Penal Code 1860,Documents and Property Marks,Making a false document,"A person is said to make a false document when he dishonestly makes, alters or causes execution of a document or electronic record.","This section explains what amounts to making a false document, including signing, altering or misusing documents fraudulently.",Criminal,Moderate,Linked to forgery,0,Yes,Yes,All India,Yes,IPC 464 making false document explanation
IPC_465,Section 465,Indian Penal Code 1860,Documents and Property Marks,Punishment for forgery,Whoever commits forgery shall be punished with imprisonment up to two years or fine or both.,This section provides punishment for basic forgery offences.,Criminal,Moderate,Imprisonment or Fine,2,Yes,Yes,All India,Yes,IPC 465 punishment for forgery explanation
IPC_466,Section 466,Indian Penal Code 1860,Documents and Property Marks,Forgery of court records or public registers,"Forgery of court records, public registers or official documents is punishable with imprisonment up to seven years and fine.","This section deals with forging official or court-related documents, which is treated more seriously.",Criminal,Severe,Imprisonment and Fine,7,Yes,No,All India,No,IPC 466 forgery of public records explanation
IPC_467,Section 467,Indian Penal Code 1860,Documents and Property Marks,Forgery of valuable security or will,"Forgery of valuable securities, wills or authority documents is punishable with life imprisonment or imprisonment up to ten years and fine.","This section covers very serious forgery involving wills, securities or financial authority documents.",Criminal,Severe,Life Imprisonment or Jail,Life,Yes,No,All India,No,IPC 467 forgery of will or security explanation
IPC_468,Section 468,Indian Penal Code 1860,Documents and Property Marks,Forgery for purpose of cheating,Forgery committed with intent to cheat is punishable with imprisonment up to seven years and fine.,This section applies when forged documents are used specifically to cheat someone.,Criminal,Severe,Imprisonment and Fine,7,Yes,No,All India,No,IPC 468 forgery for cheating explanation
IPC_470,Section 470,Indian Penal Code 1860,Documents and Property Marks,Forged document,A forged document is a false document or electronic record made by forgery.,This section defines what constitutes a forged document.,Criminal,Minor,Definition Only,0,NA,NA,All India,NA,IPC 470 forged document definition
IPC_471,Section 471,Indian Penal Code 1860,Documents and Property Marks,Using forged document as genuine,Whoever uses a forged document as genuine knowing it to be forged shall be punished as if he forged it.,This section punishes using fake documents even if the person did not create them.,Criminal,Severe,Same as Forgery,0,Yes,No,All India,No,IPC 471 using forged document explanation
IPC_489A,Section 489A,Indian Penal Code 1860,Documents and Property Marks,Counterfeiting currency notes,Whoever counterfeits currency notes or bank notes shall be punished with life imprisonment or imprisonment up to ten years and fine.,This section deals with making fake currency or bank notes.,Criminal,Severe,Life Imprisonment or Jail,Life,Yes,No,All India,No,IPC 489A counterfeiting currency explanation
IPC_489B,Section 489B,Indian Penal Code 1860,Documents and Property Marks,Using forged or counterfeit currency,Whoever uses or traffics forged or counterfeit currency knowing it to be fake shall be punished with life imprisonment or imprisonment up to ten years and fine.,This section applies to circulation or use of fake currency.,Criminal,Severe,Life Imprisonment or Jail,Life,Yes,No,All India,No,IPC 489B using counterfeit currency explanation
IPC_489C,Section 489C,Indian Penal Code 1860,Documents and Property Marks,Possession of counterfeit currency,Possession of counterfeit currency with intent to use it as genuine is punishable.,This section applies when someone knowingly keeps fake currency for use.,Criminal,Severe,Imprisonment or Fine,7,Yes,No,All India,No,IPC 489C possession of counterfeit currency explanation
IPC_489D,Section 489D,Indian Penal Code 1860,Documents and Property Marks,Making or possessing tools for counterfeiting,Whoever makes or possesses machinery or materials for counterfeiting currency shall be punished.,This section targets preparation and tools used for printing fake currency.,Criminal,Severe,Life Imprisonment or Jail,Life,Yes,No,All India,No,IPC 489D tools for counterfeiting explanation
IPC_489E,Section 489E,Indian Penal Code 1860,Documents and Property Marks,Making or using documents resembling currency,Whoever makes or uses documents resembling currency notes shall be punished with fine.,This section applies to fake notes or documents resembling currency even if not fully counterfeit.,Criminal,Minor,Fine Only,0,Yes,Yes,All India,Yes,IPC 489E resembling currency notes explanation
IPC_378,Section 378,Indian Penal Code 1860,Offences Against Property,Theft,Whoever dishonestly takes movable property out of another’s possession without consent commits theft.,This section defines theft. It applies when movable property is taken dishonestly without the owner’s consent.,Criminal,Moderate,Definition Only,0,Yes,Yes,All India,Yes,IPC 378 theft definition explanation
IPC_379,Section 379,Indian Penal Code 1860,Offences Against Property,Punishment for theft,Whoever commits theft shall be punished with imprisonment up to three years or fine or both.,This section prescribes punishment for theft.,Criminal,Moderate,Imprisonment or Fine,3,Yes,Yes,All India,Yes,IPC 379 punishment for theft explanation
IPC_379A,Section 379A,Indian Penal Code 1860,Offences Against Property,Snatching,Whoever forcibly or suddenly takes movable property from a person commits snatching.,This section defines snatching as a form of theft involving force or sudden seizure.,Criminal,Severe,Imprisonment,10,Yes,No,State Specific,No,IPC 379A snatching explanation
IPC_379B,Section 379B,Indian Penal Code 1860,Offences Against Property,Punishment for snatching,Punishment for snatching includes imprisonment from five to ten years and fine.,"This section provides enhanced punishment for snatching, especially if hurt is caused.",Criminal,Severe,Imprisonment and Fine,10,Yes,No,State Specific,No,IPC 379B punishment for snatching explanation
IPC_395,Section 395,Indian Penal Code 1860,Offences Against Property,Punishment for dacoity,Whoever commits dacoity shall be punished with life imprisonment or rigorous imprisonment up to ten years and fine.,This section applies to robbery committed by five or more persons.,Criminal,Severe,Life Imprisonment,Life,Yes,No,All India,No,IPC 395 dacoity punishment explanation
IPC_396,Section 396,Indian Penal Code 1860,Offences Against Property,Dacoity with murder,"If murder is committed during dacoity, all participants are liable.",This section applies when murder occurs during dacoity.,Criminal,Severe,Death or Life Imprisonment,Life,Yes,No,All India,No,IPC 396 dacoity with murder explanation
IPC_411,Section 411,Indian Penal Code 1860,Offences Against Property,Dishonestly receiving stolen property,Receiving or retaining stolen property knowing it to be stolen is punishable.,This section applies to people who knowingly receive stolen goods.,Criminal,Moderate,Imprisonment or Fine,3,Yes,Yes,All India,Yes,IPC 411 receiving stolen property explanation
IPC_414,Section 414,Indian Penal Code 1860,Offences Against Property,Assisting concealment of stolen property,Helping conceal or dispose of stolen property is punishable.,This section punishes assistance in hiding or selling stolen property.,Criminal,Moderate,Imprisonment or Fine,3,Yes,Yes,All India,Yes,IPC 414 assisting concealment of stolen property explanation
IPC_417,Section 417,Indian Penal Code 1860,Offences Against Property,Punishment for cheating,Whoever cheats shall be punished with imprisonment up to one year or fine or both.,This section provides punishment for cheating.,Criminal,Minor,Imprisonment or Fine,1,Yes,Yes,All India,Yes,IPC 417 cheating punishment explanation
IPC_425,Section 425,Indian Penal Code 1860,Offences Against Property,Mischief,Whoever causes destruction or damage to property with intent to cause wrongful loss commits mischief.,This section defines mischief involving damage or destruction of property.,Criminal,Minor,Definition Only,0,Yes,Yes,All India,Yes,IPC 425 mischief definition explanation
