action_id,outcome_id,probability_percentage,influencing_factors
ACTION_062,OUT_034,10,Caste claim disputed; no community evidence; revenue records contrary
ACTION_063,OUT_007,80,Income clearly provable by salary slips or business records
ACTION_063,OUT_034,15,Income disputes; no supporting documents; verification fails
ACTION_064,OUT_057,80,Sale deed or succession documents proper; fees paid; no dispute raised
ACTION_064,OUT_086,15,Disputed title; adverse claims; pending litigation prevents mutation
ACTION_065,OUT_031,90,Correct documents submitted; biometric verification successful; genuine error
ACTION_065,OUT_034,10,Insufficient documents for correction; identity cannot be established
ACTION_066,OUT_031,95,Valid identity and address proof; online application; fee paid; no prior PAN
ACTION_066,OUT_086,5,Duplicate PAN detected; documents forged; verification fails
ACTION_067,OUT_007,75,Proper books of account; returns filed timely; tax paid correctly
ACTION_067,OUT_070,25,Late filing; incorrect returns; tax evasion detected; penalty imposed
ACTION_068,OUT_007,80,Income properly declared; tax paid; refund processed if overpaid
ACTION_068,OUT_070,20,Income concealed; wrong form used; assessment proceedings initiated
ACTION_069,OUT_007,85,All regulatory requirements met; DIN and DSC obtained; name approved
ACTION_069,OUT_034,10,Name objected; document deficiency; compliance issues with ROC
ACTION_070,OUT_007,85,Partnership deed valid; fees paid; all partners appear; business activity legal
ACTION_070,OUT_034,10,Deed defective; partners minor; illegal business activity proposed
ACTION_071,OUT_007,85,DPIN obtained; LLP agreement drafted; name approved; ROC processes
ACTION_071,OUT_034,10,Name conflicts; compliance issues; partner eligibility issues
ACTION_072,OUT_007,75,Business premises compliant; trade is legal; fees paid; no objection from neighbours
ACTION_072,OUT_034,20,Non-compliance with regulations; commercial activity in residential zone
ACTION_073,OUT_063,70,Trademark is distinctive; not similar to existing marks; proper class selected
ACTION_073,OUT_034,25,Trademark refused as deceptively similar; purely descriptive; well-known mark conflict
ACTION_074,OUT_057,90,Original work submitted; proper application form; fee paid; no objection
ACTION_074,OUT_034,10,Work not original; objection from prior rights holder sustained
ACTION_075,OUT_064,50,Novel non-obvious industrial application; complete specification; examination passed
ACTION_075,OUT_034,45,Prior art found; obviousness objection sustained; insufficient disclosure
ACTION_076,OUT_057,85,Document valid; stamp duty paid; parties appear with witnesses; biometric done
ACTION_076,OUT_086,15,Under-stamping detected; parties fail to appear; disputed document registration refused
ACTION_077,OUT_001,65,Commissioner satisfied; serious cognizable offence; FIR direction issued
ACTION_077,OUT_034,30,Commissioner finds complaint frivolous; civil dispute mislabelled as criminal
ACTION_078,OUT_066,35,False statement clearly contradicted by undeniable evidence; judicial proceeding proved
ACTION_078,OUT_034,60,Perjury very difficult to prove; inconsistencies explained; no malafide intent found
ACTION_079,OUT_031,70,Service not provided within stipulated time; right to service law applicable; proper appeal
ACTION_079,OUT_034,25,Service provided in time; officials justify delay; case dismissed
ACTION_080,OUT_007,80,Food business compliant with safety standards; premises inspected; documents in order
ACTION_080,OUT_034,15,Non-compliance with food safety norms; premises substandard; application incomplete
ACTION_081,OUT_071,65,Employment and unpaid wages clearly proved; employer has capacity to pay
ACTION_081,OUT_041,25,Wages were paid but disputed; employment not proved; limitation exceeded
ACTION_082,OUT_072,85,UAN active; employment proved; separation completed; KYC verified; claim genuine
ACTION_082,OUT_034,10,UAN inactive; employer not deposited PF; disputed employment period
ACTION_083,OUT_072,75,5 years completed; separation proved; last salary established; employer confirms
ACTION_083,OUT_034,20,Less than 5 years service; disputed employment; employer disputes calculation
ACTION_084,OUT_007,80,Pregnancy proved; employment proved; employer refuses maternity pay; complaint filed
ACTION_084,OUT_034,15,Employer paid all dues; complaint filed after limitation; employee not entitled
ACTION_085,OUT_075,65,Work-related injury/death clearly proved; employer negligence established; wage records clear
ACTION_085,OUT_034,30,Injury outside course of employment; negligence not proved; wage records disputed
ACTION_086,OUT_007,85,ESI card valid; treatment in approved hospital; claim properly documented
ACTION_086,OUT_034,10,Employee not registered under ESI; treatment not covered; documents incomplete
ACTION_087,OUT_007,60,Assessment genuinely excessive; supporting valuation documents submitted
ACTION_087,OUT_034,35,Assessment found correct; comparable properties support the assessment
ACTION_088,OUT_031,90,Valid documents submitted; correction clearly needed; electoral roll updated
ACTION_088,OUT_034,5,Documents insufficient; identity cannot be established; objection period pending
ACTION_089,OUT_007,40,Clear professional misconduct proved; bar council satisfied; disciplinary action taken
ACTION_089,OUT_034,55,Misconduct not substantiated; professional judgment not misconduct; complaint dismissed
ACTION_090,OUT_060,75,Senior citizen incapable of maintaining; children have capacity; maintenance fixed
ACTION_090,OUT_034,20,Children found incapable of paying; senior citizen has own means; no maintenance
ACTION_091,OUT_007,35,Medical negligence clearly proved; council takes serious view; license action
ACTION_091,OUT_034,60,Medical judgment call accepted; standard of care met; complaint dismissed
ACTION_092,OUT_045,60,RERA registered builder; delay or defect clearly proved; possession ordered with penalty
ACTION_092,OUT_084,55,Refund with interest ordered when possession not possible or buyer wants refund
ACTION_093,OUT_019,65,Billing dispute or service deficiency clearly proved; ombudsman finds in favour
ACTION_093,OUT_020,30,No deficiency found; technical issue beyond operator control; limitation exceeded
ACTION_094,OUT_080,75,Suitability of proposed guardian proved; minor's welfare requires guardian
ACTION_094,OUT_034,20,Natural parent objects; court finds natural parent suitable; guardian not needed
ACTION_095,OUT_079,70,Adoptive parents eligible; child welfare committee approves; court satisfied
ACTION_095,OUT_034,25,Eligibility criteria not met; child not free for adoption; consent lacking
ACTION_096,OUT_078,55,Fraud or misrepresentation in sale deed clearly proved; original owner's right established
ACTION_096,OUT_034,40,Bona fide purchaser for value; no fraud proved; specific performance defence
ACTION_097,OUT_016,65,Divorce granted; alimony not settled; financial need and spouse capacity proved
ACTION_097,OUT_017,30,Spouse shows claimant has sufficient means; conduct disqualifies from alimony
ACTION_098,OUT_018,70,Best interest of child clearly with petitioner; stability and resources available
ACTION_098,OUT_034,25,Best interest found with respondent; shared custody or access ordered
ACTION_099,OUT_011,55,Prior peaceful possession proved; illegal dispossession by defendant established
ACTION_099,OUT_034,40,Dispossession was legal; court order or right of entry existed; possession not proved
ACTION_100,OUT_019,60,Billing error or service deficiency clearly shown; electricity company in default
ACTION_100,OUT_020,35,Technical issue not company's fault; consumer reading error; limitation exceeded
