evidence_id,evidence_type,evidence_name,description,mandatory_or_optional,collection_difficulty,legal_weight,evidence_source,tamper_risk,storage_requirements,embedding_text
EVID_019,Digital,Call Detail Records (CDR),Mobile phone call and message records from telecom service provider,Optional,Hard,High,Telecom Operator,Low,"Court order required, certified copy from operator, maintain sealed envelope",Call detail records CDR phone records mobile data
EVID_020,Documentary,Will/Testament,Legal document expressing testator's wishes for property distribution after death,Mandatory,Medium,High,User/Court,Medium,"Registered will preferred, witness signatures, probate if required",Will testament succession document property distribution
EVID_021,Documentary,Power of Attorney,Legal authorization allowing one person to act on behalf of another,Mandatory,Easy,High,Notary/Court,Low,"Registered notarized original, specify general or special PoA",Power of attorney authorization legal representative document
EVID_022,Documentary,Salary Slips,Monthly salary statements from employer showing income details,Mandatory,Easy,High,Employer,Low,"Last 6 months slips, Form 16, bank credit statements",Salary slip income proof employment earnings
EVID_023,Documentary,Ration Card,Government-issued family card proving residency and family composition,Optional,Easy,Medium,Government,Low,"Original card, address proof, family member details",Ration card family card address proof residency
EVID_024,Documentary,Property Tax Receipt,Municipal tax payment receipt for property ownership verification,Mandatory,Easy,High,Municipality,Low,"Latest tax receipt, previous year receipts, assessment records",Property tax receipt municipal payment ownership proof
EVID_025,Digital,Social Media Posts,Posts tweets or content from social media platforms showing defamation or threats,Optional,Easy,Medium,User,High,"Screenshots with URL date time, certified digital copies, cached versions",Social media posts tweets Facebook Instagram evidence
EVID_026,Documentary,Police Complaint Receipt,Acknowledgement receipt from police station for filed complaint,Mandatory,Easy,High,Police Station,Low,"Stamped receipt with complaint number date, follow-up with FIR",Police complaint receipt acknowledgement police station
EVID_027,Documentary,Divorce Decree,Court order granting dissolution of marriage,Mandatory,Medium,High,Family Court,Low,"Certified court copy, decree nisi and absolute if applicable",Divorce decree dissolution marriage court order
EVID_028,Documentary,Maintenance Order,Court order directing payment of maintenance to spouse or child,Mandatory,Medium,High,Family Court,Low,"Certified court copy, payment compliance records",Maintenance order alimony court directive support payment
EVID_029,Physical,Forensic Evidence,Scientific evidence like fingerprints DNA blood samples collected from crime scene,Optional,Hard,High,Forensic Lab,Low,"Police custody, forensic lab report, expert testimony required",Forensic evidence DNA fingerprint blood sample scientific
EVID_030,Documentary,Educational Certificates,Academic qualification documents like degrees marksheets,Optional,Easy,Medium,Educational Institution,Low,"Original certificates, verification from institution if needed",Educational certificate degree marksheet academic qualification
EVID_031,Documentary,Voter ID Card,Electoral identity card issued by Election Commission,Optional,Easy,Medium,Election Commission,Low,"Original card with current address, acceptable as identity and address proof",Voter ID card electoral identity proof address
EVID_032,Documentary,Driving License,Government-issued license to operate motor vehicles,Optional,Easy,Medium,RTO,Low,"Original license, particularly relevant for accident cases",Driving license vehicle operation permit RTO document
EVID_033,Documentary,Vehicle Registration Certificate (RC),Official registration document for motor vehicle ownership,Mandatory,Easy,High,RTO,Low,"Original RC book, insurance papers, pollution certificate",Vehicle RC registration certificate car ownership RTO
EVID_034,Digital,GPS Location Data,Geographic coordinates from mobile or vehicle tracking systems,Optional,Hard,Medium,Service Provider,High,"Court order may be needed, certified data from provider",GPS location tracking coordinate geographic data
EVID_035,Documentary,Insurance Policy,Insurance contract document covering life health vehicle or property,Optional,Easy,Medium,Insurance Company,Low,"Original policy document, premium payment receipts, claim forms",Insurance policy contract coverage document
EVID_036,Documentary,Gift Deed,Legal document recording transfer of property as gift,Mandatory,Easy,High,Registration Office,Low,"Registered deed, acceptance by donee, stamp duty payment",Gift deed property transfer donation document
EVID_037,Documentary,Partnership Deed,Agreement between partners establishing business partnership,Mandatory,Easy,High,Registrar,Low,"Registered deed if applicable, terms and profit sharing details",Partnership deed business agreement partner contract
EVID_038,Documentary,Share Certificate,Document proving ownership of company shares,Optional,Medium,High,Company,Low,"Original certificate, demat account statement for electronic shares",Share certificate stock ownership equity document
EVID_039,Digital,Audio Recording,Voice recording of conversations threats or admissions,Optional,Medium,Medium,User,High,"Original recording with metadata, court may require authentication, admissibility concerns",Audio recording voice conversation threat evidence
EVID_040,Digital,Video Recording,Video footage from phone or camera showing incident,Optional,Medium,High,User,High,"Original file with metadata, certified copy, chain of custody",Video recording footage visual evidence
EVID_041,Documentary,Promissory Note,Written promise to pay specific sum to person at specified time,Mandatory,Easy,High,User,Low,"Original signed note, stamp duty if applicable",Promissory note payment promise debt acknowledgement
EVID_042,Documentary,Succession Certificate,Court certificate authorizing legal heir to inherit assets,Mandatory,Hard,High,Civil Court,Low,"Court-issued original certificate after due process",Succession certificate legal heir inheritance court document
EVID_043,Documentary,Bail Bond,Surety bond for release of accused person,Mandatory,Medium,High,Court,Low,"Court-stamped original bond, surety documents",Bail bond surety release document court
EVID_044,Documentary,Affidavit,Sworn written statement verified before notary or magistrate,Mandatory,Easy,High,User,Low,"Notarized original on stamp paper, commissioner oath",Affidavit sworn statement notarized declaration
EVID_045,Documentary,Electricity Bill,Utility bill for electricity consumption,Optional,Easy,Medium,Electricity Board,Low,"Latest bill, address and name verification, payment receipts",Electricity bill utility consumption address proof
EVID_046,Documentary,Telephone Bill,Landline or mobile bill from service provider,Optional,Easy,Medium,Telecom Operator,Low,"Latest bills, connection proof, address verification",Telephone bill mobile bill service provider document
EVID_047,Documentary,Birth Certificate,Official certificate documenting birth details,Mandatory,Easy,High,Municipality,Low,"Original certificate from municipal corporation or panchayat",Birth certificate birth documentation official record
EVID_048,Documentary,Passport,International travel document issued by government,Optional,Easy,High,Passport Office,Low,"Original passport, particularly relevant for identity and address verification",Passport international travel document identity proof
EVID_049,Documentary,Encumbrance Certificate (EC),Certificate showing property is free from legal dues,Mandatory,Medium,High,Sub-Registrar,Low,"Latest EC covering 13-30 years, obtained from sub-registrar office",Encumbrance certificate EC property verification legal dues
EVID_050,Documentary,Khata Certificate,Property ownership record maintained by municipality,Mandatory,Medium,High,Municipality,Low,"Khata extract and mutation records, property ID details",Khata certificate property tax record municipal ownership
EVID_051,Physical,Seized Property,Physical items seized by police as evidence,Optional,Hard,High,Police,High,"Police custody with seizure panchnama, proper labeling and sealing",Seized property confiscated items police custody evidence
EVID_052,Documentary,Character Certificate,Certificate attesting to person's good character and conduct,Optional,Easy,Low,Employer/Police,Low,"From employer gazetted officer or police verification",Character certificate conduct attestation verification
EVID_053,Digital,Transaction Records,Digital records of financial transactions from payment apps,Optional,Easy,Medium,User/Service Provider,Medium,"Screenshots, certified statements from PayTM PhonePe GooglePay etc",Transaction records payment history digital wallet app
EVID_054,Documentary,Court Order/Judgment,Previous court decisions or orders relevant to the case,Mandatory,Medium,High,Court,Low,"Certified copy from court, case number and citation details",Court order judgment decree legal decision
EVID_055,Documentary,Shop Establishment License,License for operating commercial establishment,Optional,Easy,Medium,Municipality,Low,"Original license, renewal receipts, GST registration if applicable",Shop establishment license business permit commercial
EVID_056,Documentary,GST Registration Certificate,Goods and Services Tax registration document,Optional,Easy,Medium,GST Department,Low,"GST registration certificate, GSTIN number verification",GST registration certificate tax identification business
EVID_057,Documentary,PAN Card,Permanent Account Number for tax purposes,Mandatory,Easy,High,Income Tax Dept,Low,"Original PAN card, essential for financial transactions above threshold",PAN card tax identification permanent account number
EVID_058,Physical,Samples/Specimens,Physical samples like blood urine or substance samples for testing,Optional,Hard,High,Forensic Lab/Hospital,Low,"Sealed samples with chain of custody, laboratory analysis report",Physical samples specimen biological material testing
EVID_059,Documentary,Labour Card,Document identifying registered worker under labour laws,Optional,Easy,Medium,Labour Department,Low,"Original card, employment proof for labour disputes",Labour card worker identification employment registration
EVID_060,Documentary,Trademark Certificate,Certificate of trademark registration,Optional,Medium,High,Trademark Registry,Low,"Registration certificate from Controller General of Patents Designs Trademarks",Trademark certificate brand registration intellectual property
EVID_061,Documentary,Copyright Certificate,Certificate proving copyright ownership,Optional,Medium,High,Copyright Office,Low,"Registration certificate, proof of original creation",Copyright certificate intellectual property creation ownership
EVID_062,Documentary,Patent Certificate,Certificate of patent grant,Optional,Hard,High,Patent Office,Low,"Patent grant certificate, patent number and filing details",Patent certificate invention registration intellectual property
EVID_063,Digital,Server Logs,Technical logs from websites or digital platforms,Optional,Hard,Medium,Service Provider,Low,"Court order may be required, certified logs from hosting provider",Server logs digital access records website activity
EVID_064,Digital,Blockchain Records,Immutable digital ledger entries for cryptocurrency or digital assets,Optional,Hard,Medium,Blockchain Network,Low,"Transaction hashes, wallet addresses, blockchain explorer printouts",Blockchain records cryptocurrency digital asset transaction
EVID_065,Documentary,Leave Records,Employment leave applications and approvals,Optional,Easy,Low,Employer,Medium,"Leave application forms, approval emails, attendance records",Leave records employment absence documentation
EVID_066,Documentary,Experience Certificate,Document certifying work experience with organization,Optional,Easy,Low,Employer,Low,"Original on company letterhead, duration and designation details",Experience certificate employment history work documentation
EVID_067,Documentary,Termination Letter,Formal letter communicating employment termination,Mandatory,Easy,High,Employer,Low,"Original termination letter, reasons stated, notice period details",Termination letter dismissal notice employment separation
EVID_068,Documentary,Warning Letter/Memo,Written warning or show cause notice from employer,Optional,Easy,Medium,Employer,Medium,"Original letters, employee response if any, disciplinary records",Warning letter show cause memo disciplinary action
EVID_069,Documentary,Attendance Records,Employee attendance register or biometric records,Optional,Medium,Medium,Employer,Medium,"Attendance sheets, biometric logs, time and date stamps",Attendance records employee presence work timing
EVID_070,Documentary,Loan Agreement,Contract between lender and borrower detailing loan terms,Mandatory,Easy,High,Bank/Lender,Low,"Original signed agreement, sanction letter, disbursement proof",Loan agreement debt contract borrowing terms
EVID_071,Documentary,Loan Statements,Periodic statements showing loan balance payments and interest,Mandatory,Easy,High,Bank,Low,"Monthly statements, payment receipts, outstanding balance certificate",Loan statement debt balance payment record
EVID_072,Documentary,Property Valuation Report,Professional assessment of property market value,Optional,Medium,Medium,Valuer,Low,"Report from registered valuer, comparable sales data",Property valuation assessment market value report
EVID_073,Documentary,Building Approval Plan,Sanctioned construction plan from municipal authority,Mandatory,Medium,High,Municipality,Low,"Approved building plan, completion certificate, occupancy certificate",Building approval plan construction permit sanctioned
EVID_074,Documentary,Lease Deed,Registered long-term lease agreement for property,Mandatory,Easy,High,Registration Office,Low,"Registered lease deed, lease rent receipts, renewal terms",Lease deed long term rental registered agreement
EVID_075,Documentary,Mutation Records,Official record of change in property ownership in revenue records,Mandatory,Medium,High,Tehsildar/Revenue Office,Low,"Mutation entry in land records, revenue receipt, 7/12 extract",Mutation records property ownership change revenue register
EVID_076,Digital,Dashcam Footage,Vehicle dashboard camera recording of road incident,Optional,Medium,High,User,High,"Original video file with timestamp and location, clear visibility required",Dashcam footage vehicle camera accident recording
EVID_077,Documentary,Post-Mortem Report,Medical-legal examination report of deceased person,Mandatory,Medium,High,Hospital/Forensic,Low,"Original report from government hospital, cause of death details",Post mortem report autopsy forensic death examination
EVID_078,Documentary,Injury Certificate,Medical certificate documenting nature and extent of injuries,Mandatory,Easy,High,Hospital,Low,"From government hospital, injury description and medical opinion",Injury certificate medical documentation harm assessment
EVID_079,Documentary,Disability Certificate,Certificate documenting physical or mental disability,Optional,Medium,Medium,Medical Board,Low,"Issued by government medical board, percentage of disability",Disability certificate medical assessment handicap documentation
EVID_080,Documentary,Age Proof Certificate,Document establishing person's age,Optional,Easy,Medium,School/Municipality,Low,"School leaving certificate, birth certificate, age declaration",Age proof certificate birth date documentation
EVID_081,Documentary,Caste Certificate,Certificate proving person's caste or community,Optional,Easy,Low,Tehsildar,Low,"From revenue authority, required for reservation benefits",Caste certificate community documentation reservation
EVID_082,Documentary,Income Certificate,Certificate stating annual income of person or family,Optional,Easy,Medium,Tehsildar,Low,"From revenue authority, valid for limited period",Income certificate earnings statement revenue document
EVID_083,Documentary,Domicile Certificate,Certificate proving residency in particular state or region,Optional,Easy,Low,Tehsildar,Low,"From revenue authority, proof of residence duration",Domicile certificate residency proof state documentation
EVID_084,Documentary,NOC (No Objection Certificate),Certificate stating no objection to specific activity or transaction,Optional,Easy,Medium,Various Authorities,Medium,"From relevant authority society or landlord as applicable",NOC no objection certificate permission approval
EVID_085,Documentary,Compromise Deed,Agreement between parties settling dispute out of court,Optional,Easy,High,Parties/Court,Low,"Notarized compromise with terms, court approval if filed",Compromise deed settlement agreement mutual resolution
EVID_086,Documentary,Agreement to Sell,Preliminary agreement before final sale deed,Mandatory,Easy,High,User,Medium,"Original signed agreement, advance payment receipt, stamp duty",Agreement to sell preliminary contract property sale
EVID_087,Documentary,Deposit Receipt,Receipt for security deposit or advance payment,Mandatory,Easy,High,User,Low,"Original receipt with date amount and signatures",Deposit receipt advance payment security money acknowledgement
EVID_088,Physical,Contraband/Drugs,Seized illegal substances or prohibited items,Optional,Hard,High,Police,High,"Police custody with seizure panchnama, forensic testing required",Contraband drugs illegal substance seized evidence
EVID_089,Documentary,Export/Import License,License for international trade activities,Optional,Medium,Medium,DGFT,Low,"Original license, customs clearance documents",Export import license international trade DGFT permit
EVID_090,Documentary,Fire Safety Certificate,Certificate showing compliance with fire safety norms,Optional,Medium,Medium,Fire Department,Low,"NOC from fire department, particularly for commercial properties",Fire safety certificate compliance fire department NOC
EVID_091,Documentary,Pollution Certificate,Vehicle emission testing certificate,Optional,Easy,Low,Authorized Center,Low,"Valid pollution under control certificate for vehicles",Pollution certificate emission testing vehicle PUC
EVID_092,Documentary,Fitness Certificate,Vehicle fitness certification for commercial vehicles,Optional,Easy,Medium,RTO,Low,"Fitness certificate for vehicles over 15 years or commercial",Fitness certificate vehicle condition RTO certification
EVID_093,Documentary,Insurance Claim Form,Application form for insurance claim with supporting documents,Mandatory,Easy,High,User,Low,"Filled claim form, policy copy, incident proof",Insurance claim form application policy document
EVID_094,Documentary,Survey Report,Property boundary survey by licensed surveyor,Optional,Hard,High,Licensed Surveyor,Low,"Survey report with measurements, boundary markers, GPS coordinates",Survey report property boundary measurement land survey
EVID_095,Documentary,Tax Assessment Order,Income tax assessment order from tax department,Optional,Medium,Medium,Income Tax Dept,Low,"Assessment order, tax computation, notice if any",Tax assessment order income tax department computation
EVID_096,Documentary,Arbitration Award,Decision by arbitrator in dispute resolution,Mandatory,Medium,High,Arbitrator,Low,"Signed arbitration award, stamped and dated",Arbitration award dispute resolution arbitrator decision
EVID_097,Documentary,Mediation Agreement,Settlement reached through mediation process,Optional,Easy,High,Mediator/Court,Low,"Signed mediation agreement, approved by parties",Mediation agreement settlement dispute resolution
EVID_098,Digital,Digital Signature Certificate,Electronic signature authentication,Optional,Medium,Medium,Certifying Authority,Low,"DSC from licensed certifying authority, for e-filing documents",Digital signature certificate electronic authentication DSC
EVID_099,Documentary,Architect Certificate,Certificate from architect regarding construction compliance,Optional,Medium,Medium,Architect,Low,"Professional certificate from registered architect",Architect certificate construction compliance professional
EVID_100,Documentary,Chartered Accountant Certificate,Financial certification by CA,Optional,Medium,High,Chartered Accountant,Low,"CA certificate for financial statements, audits, valuations",CA certificate chartered accountant financial certification
